Text,Name,Created At,Tweet Type,
Elie Wiesel was a great moral voice of our time and a conscience for our world. He was also a dear friend. We will miss him deeply.,President Obama,Sat Jul 02 23:06:02 +0000 2016,Tweet,
RT @MarchofDimes : 2016 Nat'l Amb. Ismael was honored to meet @POTUS today &amp; talk about the need to help babies &amp; #ZAPzika! https://t.co/ZzwGUUV6Gu,President Obama,Thu Jun 30 23:55:20 +0000 2016,Retweet,
"The list goes on. When Members return, I hope they'll share my commitment to work together to do what must be done. https://t.co/l8nChcXpml",President Obama,Thu Jun 30 20:58:10 +0000 2016,Reply,
Americans still need and are asking Congress to pass commonsense gun laws that strengthen background checks and keep our communities safe.,President Obama,Thu Jun 30 20:56:10 +0000 2016,Reply,
"After more than 100 days, the Supreme Court still needs its 9th judge, but the Senate GOP refuses to do its job and consider Judge Garland.",President Obama,Thu Jun 30 20:55:05 +0000 2016,Reply,
Congress is leaving a hefty to-do list undone. Health officials still need emergency funding to effectively protect Americans from Zika.,President Obama,Thu Jun 30 20:53:50 +0000 2016,Reply,
Proud to sign laws to improve transparency and avert a crisis in Puerto Rico. I'd hoped to use my pen more often before Congress left town.,President Obama,Thu Jun 30 20:53:03 +0000 2016,Tweet,
"Until next time, Justin. Good to know that Canada and the world will benefit from your leadership for years to come. https://t.co/T10g64niul",President Obama,Thu Jun 30 15:38:05 +0000 2016,Tweet,
"Women’s opportunities are expanded and our nation is stronger when all of our citizens have accessible, affordable health care.",President Obama,Mon Jun 27 16:28:29 +0000 2016,Reply,
Every woman has a constitutional right to make her own reproductive choices. I'm pleased to see the Supreme Court reaffirm that fact today.,President Obama,Mon Jun 27 16:27:42 +0000 2016,Tweet,
Thank you John Lewis for leading on gun violence where we need it most. https://t.co/vctfqAH5Wt,President Obama,Wed Jun 22 17:45:58 +0000 2016,Tweet,
"By giving him its highest rating, the American Bar Association confirms what we all know: Judge Garland should serve on the Supreme Court.",President Obama,Tue Jun 21 18:47:29 +0000 2016,Tweet,
"Gun violence requires more than moments of silence. It requires action. In failing that test, the Senate failed the American people.",President Obama,Tue Jun 21 15:11:24 +0000 2016,Tweet,
What a game and what a series for the @Cavs. Happy to see @KingJames bring it home for Cleveland!,President Obama,Mon Jun 20 03:30:52 +0000 2016,Tweet,
Happy Father's Day to all the dads out there. Glad to be spending this one with my family in Yosemite. https://t.co/SaNJgmoIK1,President Obama,Sun Jun 19 22:22:49 +0000 2016,Tweet,
"RT @FLOTUS44 : Together, we are stronger. Together we can change tomorrow. Stand with us: https://t.co/kMuWTuXTdb #StateOfWomen
https://t.co/maBuf4nT0E",President Obama,Mon Jun 06 13:53:51 +0000 2016,Retweet,
"He shook up the world, and the world's better for it. Rest in peace, Champ. https://t.co/z1yM3sSLH3",President Obama,Sat Jun 04 14:05:32 +0000 2016,Tweet,
We cannot accept our level of gun violence as the new normal. We must take action to prevent this from happening again &amp; again. #WearOrange,President Obama,Thu Jun 02 15:16:07 +0000 2016,Tweet,
"This Memorial Day, I hope you'll join me in acts of remembrance. The debt we owe our fallen heroes is one we can never truly repay.",President Obama,Mon May 30 13:00:39 +0000 2016,Tweet,
"Today, I join all Americans in honoring 13 officers who went beyond the call of duty to save the lives of strangers. https://t.co/OufzQ70ovH",President Obama,Mon May 16 17:47:36 +0000 2016,Tweet,
To my 5th grade teacher Ms. Mabel Hefty and the educators who inspire our young people every single day: Thank you. https://t.co/fz2ij8daBg,President Obama,Tue May 03 18:12:25 +0000 2016,Tweet,
"Today, the US joined some 170 nations to sign the Paris Agreement - an historic step this Earth Day to protect the one planet we've got.",President Obama,Fri Apr 22 17:44:33 +0000 2016,Tweet,
"Thank you, Adrianne, for being Boston Strong. Terror and bombs can't beat us. We carry on. We finish the race! https://t.co/55hmcsCHbJ",President Obama,Tue Apr 19 00:18:52 +0000 2016,Tweet,
"Congrats to the @Warriors, a great group of guys on and off the court. If somebody had to break the Bulls' record, I'm glad it's them.",President Obama,Thu Apr 14 05:00:56 +0000 2016,Tweet,
"Big night of basketball - @Warriors chasing 73 and a farewell for an
all-timer, @KobeBryant. NBA fans feeling like: https://t.co/hvno2ZO5b0",President Obama,Thu Apr 14 01:01:34 +0000 2016,Tweet,
Proud to designate the Belmont-Paul national monument for women's equality. Let's keep up their fight with #EqualPay for women today.,President Obama,Tue Apr 12 14:46:44 +0000 2016,Tweet,
Congrats SpaceX on landing a rocket at sea. It's because of innovators like you &amp; NASA that America continues to lead in space exploration.,President Obama,Fri Apr 08 23:22:28 +0000 2016,Tweet,
"RT @repjohnlewis : 48 yrs ago today, my friend, my brother, Dr. Martin Luther King, Jr. was shot and killed in Memphis, TN. The light of his life still shines.",President Obama,Mon Apr 04 23:28:06 +0000 2016,Retweet,
Nobody should have to choose between losing a paycheck &amp; caring for their family. I applaud @NYGovCuomo for taking a big step on paid leave.,President Obama,Mon Apr 04 16:29:45 +0000 2016,Tweet,
"Thank you for your leadership @RepHalRogers. This epidemic doesn't discriminate between red or blue, so it's up to all of us to do our part.",President Obama,Tue Mar 29 17:45:17 +0000 2016,Reply,
RT @RepHalRogers : Honored to have our Commander-in-Chief @POTUS @RxSummit to lead this critical discussion about the nation's drug abuse epidemic.,President Obama,Tue Mar 29 17:44:50 +0000 2016,Retweet,
"From my family to yours, Happy Easter, and we wish everyone celebrating a blessed and joyful day. https://t.co/fNvcihSmYB",President Obama,Sun Mar 27 13:39:18 +0000 2016,Tweet,
"¿Que bolá Cuba? Just touched down here, looking forward to meeting and hearing directly from the Cuban people.",President Obama,Sun Mar 20 20:22:45 +0000 2016,Tweet,
A great example of how tech can make our democracy stronger. Thanks for answering the call to serve. https://t.co/dFU57cuxo8,President Obama,Thu Mar 17 22:52:33 +0000 2016,Tweet,
"RT @SCOTUSnom : Meet Chief Judge Merrick Garland, the President's nominee to the Supreme Court. #SCOTUSnominee https://t.co/ACujysyyDJ",President Obama,Wed Mar 16 16:31:05 +0000 2016,Retweet,
Proud to nominate Judge Merrick Garland to the Supreme Court. I ask Senators to meet their constitutional duty and give him a fair hearing.,President Obama,Wed Mar 16 16:30:31 +0000 2016,Tweet,
"Looking forward to discussing more ways we can modernize government so it's as smart and dynamic as America itself. See you soon, Austin.",President Obama,Fri Mar 11 17:48:12 +0000 2016,Reply,
Seniors can now apply for Social Security benefits online: https://t.co/jPEHLkNxfk,President Obama,Fri Mar 11 17:40:44 +0000 2016,Reply,
Nearly 1 in 3 American families struggle to afford diapers. We're working with the private sector to help fix this. https://t.co/fxvdOCFeET,President Obama,Fri Mar 11 17:37:23 +0000 2016,Reply,
"Immigrants can now apply online to renew their green cards faster, and prep for the citizenship civics test online.",President Obama,Fri Mar 11 17:33:05 +0000 2016,Reply,
We've cut the time it takes students to apply for financial aid by two-thirds thanks to a simplified FAFSA form: https://t.co/WDD1UrSXIR,President Obama,Fri Mar 11 17:29:59 +0000 2016,Reply,
"At #SXSW, I'll make the case that tech and innovation can make government work better for everyone. Here's how it's working better already:",President Obama,Fri Mar 11 17:28:29 +0000 2016,Tweet,
"Happy #InternationalWomensDay! When women are free to pursue their dreams, nations are more safe, more secure, and more prosperous.",President Obama,Tue Mar 08 21:54:45 +0000 2016,Tweet,
"Welcome back to Earth, @StationCDRKelly! Your year in space is vital to the future of American space travel. Hope gravity isn't a drag!",President Obama,Wed Mar 02 18:01:28 +0000 2016,Tweet,
Play ball! https://t.co/S4DhVYa4Ef,President Obama,Wed Mar 02 00:34:29 +0000 2016,Tweet,
"Isiah, I'm so proud of you. Your kindness and willingness to help others is why I'm so hopeful for our future. https://t.co/RakSNxe7rk",President Obama,Fri Feb 26 23:23:57 +0000 2016,Tweet,
We've made big strides in the fight against Malaria - saving millions of lives. That's American leadership at work. https://t.co/jVdeE4Qktw,President Obama,Mon Feb 22 20:49:53 +0000 2016,Tweet,
Here's how we're looking at the road ahead: https://t.co/a0KcsmpF39,President Obama,Thu Feb 18 14:07:58 +0000 2016,Reply,
"Next month, I'll travel to Cuba to advance our progress and efforts that can improve the lives of the Cuban people.",President Obama,Thu Feb 18 14:05:31 +0000 2016,Reply,
We still have differences with the Cuban government that I will raise directly. America will always stand for human rights around the world.,President Obama,Thu Feb 18 14:03:35 +0000 2016,Reply,
Our flag flies over our Embassy in Havana once again. More Americans are traveling to Cuba than at any time in the last 50 years.,President Obama,Thu Feb 18 14:01:31 +0000 2016,Reply,
"14 months ago, I announced that we would begin normalizing relations with Cuba - and we've already made significant progress.",President Obama,Thu Feb 18 14:00:05 +0000 2016,Tweet,
Got a view yesterday of the lands we protected in CA. We owe it to our kids to preserve America's natural beauty. https://t.co/8OR9MrupyG,President Obama,Sat Feb 13 18:30:11 +0000 2016,Tweet,
Einstein was right! Congrats to @NSF and @LIGO on detecting gravitational waves - a huge breakthrough in how we understand the universe.,President Obama,Thu Feb 11 23:43:14 +0000 2016,Tweet,
"Way to ace your AP Calc test, Landon! You should come drop some knowledge at the White House Science Fair: https://t.co/hFaAgxVdEE",President Obama,Thu Feb 11 16:48:18 +0000 2016,Tweet,
"Just got off the phone with Coach Kubiak. Congrats to Peyton, Von Miller, and that monster @Broncos defense - see you at the White House!",President Obama,Tue Feb 09 22:30:32 +0000 2016,Tweet,
Just got great news - nearly 13 million Americans signed up this round for private health insurance thanks to the Affordable Care Act.,President Obama,Thu Feb 04 23:00:08 +0000 2016,Tweet,
Cedrick; way to go on your perfect score! How about you come by the next White House Science Fair? https://t.co/r8TGIJICh7,President Obama,Sun Jan 31 17:01:26 +0000 2016,Tweet,
"If you or someone you care about needs affordable health coverage, head over to https://t.co/A3qPizu4p2. Today's the last day to sign up!",President Obama,Sun Jan 31 15:30:44 +0000 2016,Tweet,
We just took an important step on equal pay. Let's keep at it until every woman &amp; girl gets a fair shot at success: https://t.co/OJAsaK6ImG,President Obama,Fri Jan 29 17:00:33 +0000 2016,Tweet,
The science couldn't be clearer - we owe it to our kids to do everything we can to combat climate change. https://t.co/497Wkkve58,President Obama,Mon Jan 25 21:33:47 +0000 2016,Tweet,
Seven years ago I bet on American workers and the American auto industry. I’d make that bet again any day of the week.,President Obama,Wed Jan 20 16:14:33 +0000 2016,Reply,
Cars and trucks made in the USA are more fuel efficient than ever before – and still the best in the world.,President Obama,Wed Jan 20 16:09:25 +0000 2016,Reply,
"American automakers have added more than 640,000 jobs since mid-2009 – the strongest job growth on record. https://t.co/kLruJgpZI1",President Obama,Wed Jan 20 16:05:48 +0000 2016,Reply,
"In 2009, auto sales hit a 27-year low. Last year, they hit an all-time high. https://t.co/pDc8W8mtb5",President Obama,Wed Jan 20 16:02:49 +0000 2016,Reply,
Headed to the Detroit Auto Show today to showcase how our auto industry has come roaring back from the financial crisis. Here are the stats:,President Obama,Wed Jan 20 16:00:47 +0000 2016,Tweet,
Today we honor a man who challenged us to bend the arc of the moral universe toward justice. Let's keep working to realize Dr. King's dream.,President Obama,Mon Jan 18 15:03:32 +0000 2016,Tweet,
"Alright everyone, this was a lot of fun. Thanks for the great conversation. i'll be back soon!",President Obama,Thu Jan 14 18:13:48 +0000 2016,Tweet,
places to start - @GabbyGiffords's https://t.co/ATm1M4iMgU and @Everytown,President Obama,Thu Jan 14 18:12:39 +0000 2016,Reply,
great - we need well-meaning folks from all stripes to get info on how we can respect 2A and reduce gun violence https://t.co/dZ0vRltrZg,President Obama,Thu Jan 14 18:11:01 +0000 2016,Tweet,
"the night aca passed; standing on truman balcony with all staff whod made it happen, knowing we'd helped millions. https://t.co/eUr3rZ3UN7",President Obama,Thu Jan 14 18:08:05 +0000 2016,Tweet,
despite court cases like citizens united ill work with orgs/states across US to find new ways 2 reduce $ in politics https://t.co/fuTdewJcyh,President Obama,Thu Jan 14 18:06:10 +0000 2016,Tweet,
"so we all need to speak out against bias and stereotypes, to protect the freedom of others, and our own as well.",President Obama,Thu Jan 14 18:01:08 +0000 2016,Reply,
overwhelming majority of americans understand of diversity and religious pluralism is one of our greatest strengths  https://t.co/AM1JLoA1TI,President Obama,Thu Jan 14 17:59:47 +0000 2016,Tweet,
"health care inflation lowest in decades since ACA passed; problem is more costs passed to workers thru copays, etc. https://t.co/ElBcrjxa6L",President Obama,Thu Jan 14 17:57:48 +0000 2016,Tweet,
