Text,Name,Created At,Tweet Type
RT @WhiteHouse : The President and First Lady participated in a wreath-laying ceremony and greeted veterans at the Korean War Memorial this morning. https://t.co/ltWkVAx3lL,Melania Trump,Fri Jun 26 02:04:05 +0000 2020,Retweet
"RT @RepAlexMooney : 🎨Students!📚

@FLOTUS is honoring the 100th anniversary of the 19th Amendment with an art exhibit showcasing artwork by young Americans nationwide.

Please share so young people learn about this opportunity &amp; participate in this important conversation.
⬇️
https://t.co/HAKW9jj482 https://t.co/KhoO7RrmDg",Melania Trump,Thu Jun 25 21:51:29 +0000 2020,Retweet
RT @WhiteHouse : President @realDonaldTrump and @FLOTUS laid a wreath at the Korean War Veterans Memorial this morning—a tribute to those who served and died in the war that began 70 years ago today. https://t.co/6AT7YjXFVQ,Melania Trump,Thu Jun 25 20:35:09 +0000 2020,Retweet
"RT @WhiteHouse : August 18, 2020, marks the 100th anniversary of the ratification of the 19th amendment—which gave women the right to vote. 🇺🇸

Learn how students can join @FLOTUS in the centennial celebration of women's suffrage: https://t.co/1d5oWN4KQT",Melania Trump,Thu Jun 25 18:29:11 +0000 2020,Retweet
Growing up in a safe home is crucial for the health &amp; safety of all children &amp; I will continue to support strengthening child welfare to improve the lives of those in foster care. #BeBest #Wellbeing https://t.co/Nx9EUHldUv,Melania Trump,Thu Jun 25 13:30:09 +0000 2020,Tweet
https://t.co/D1fcOHNgCo,Melania Trump,Thu Jun 25 12:01:19 +0000 2020,Tweet
"#BeBest is committed to supporting  &amp; advocating for our nation’s child welfare system. Today, I joined @POTUS for the signing of an Executive Order that will provide critical improvements to help protect the well-being &amp; outcomes for children in foster care. https://t.co/znCfW4YTYS",Melania Trump,Thu Jun 25 00:43:37 +0000 2020,Tweet
"Our child welfare system is responsible for creating safe &amp; stable homes for more than 400,000 children. Today @POTUS signed an Executive Order that will enhance &amp; strengthen the system to improve outcomes for America's children. #BeBest",Melania Trump,Wed Jun 24 22:00:06 +0000 2020,Tweet
RT @DrBuckinghamTX : Here’s a great opportunity to join @FLOTUS and help America’s children understand the history behind the women’s suffrage movement. Your special artwork could be chosen from #sd24! #txlege https://t.co/w8NaRIfMIq,Melania Trump,Wed Jun 24 20:22:44 +0000 2020,Retweet
"RT @GovStitt : This year marks the 100th anniversary of the ratification of the 19th amendment. 

To honor this milestone @FLOTUS is launching an exhibit &amp; is asking students from all 50 states to submit their art. I encourage all Oklahoma students to join!

Learn more⤵️
https://t.co/VxPZmJy5U9 https://t.co/3GGDwZ28kP",Melania Trump,Wed Jun 24 15:39:14 +0000 2020,Retweet
RT @CongressmanGT : Is there a young artist in your family? @FLOTUS is calling on our nation's students to celebrate the 100th anniversary of the 19th Amendment giving women the right to vote! Students in grades 3-12 are encouraged to submit artwork using this form by July 6. https://t.co/3JlDxrc9BM https://t.co/qT38EkkCi8,Melania Trump,Tue Jun 23 00:02:48 +0000 2020,Retweet
"RT @MississippiSOS : This year marks the 100th anniversary of the ratification of the 19th amendment, which gave American women the right to vote. In honor of the centennial celebration, @FLOTUS is encouraging youth across the country to submit artwork that’ll be displayed in a new exhibit.

1/2",Melania Trump,Mon Jun 22 20:03:00 +0000 2020,Retweet
"RT @USDOT : To celebrate the 100th anniversary of the 19th Amendment, which gave women the right to vote, @FLOTUS is asking students across the US to submit artwork depicting moments from the women's suffrage movement, which will be displayed in an exhibit this year: https://t.co/gfxLL6u66g https://t.co/FslEEO2gtx",Melania Trump,Mon Jun 22 16:09:42 +0000 2020,Retweet
RT @Interior : The struggle for women's equality was fought by brave &amp; inspiring women. To celebrate the 100th Anniversary of the 19th Amendment - earning women the right to vote - @FLOTUS Melania Trump will host a student art project to recognize this historic moment: https://t.co/fz6qdDMsWA https://t.co/lr3gnPifvU,Melania Trump,Mon Jun 22 15:39:48 +0000 2020,Retweet
"Today we celebrate all fathers for their love, dedication &amp; wisdom to help guide our youth to help them succeed &amp; grow. Happy #FathersDay! https://t.co/DYkFPeUTF6",Melania Trump,Sun Jun 21 14:30:21 +0000 2020,Tweet
